Item,Vote,Tweets
40,1,Can you imagine the psychological damage corona virus is doing? It's going to be difficult to interact with people when things die down. We are going to become dependent on technology and artificial intelligence. Many challenges are coming our way.
41,-1,To my people with money and this economy slowing you paper. Invest in stocks that involve ARTIFICIAL INTELLIGENCE such as Tesla and many more. You think no jobs rn suck. Wait till a robot takes your job
42,1,Doesn’t it feel like this is the end of an era? I feel like this decade maybe the dawn of at least 30-40 percent of things being done through artificial intelligence 
43,-1,"I don’t like the dark, I’m afraid of the ocean and space, but oh my GOD do I hate artificial intelligence. That shit is TERRIFYING."
44,-1,"AI isn’t perfect. Don’t believe me, check your qutocorreft #AI #ArtificialIntelligence"
45,-1,"Inspite of achieving quantum supremacy, Advanced Artificial Intelligence, Cloning, Gene Editing etc...etc.. Mother Nature has a funny way of showing the Human Race who’s really in charge!  #WorldWarC #coronavirus"
46,1,"Thanks to #Google, my translations require less time. #ArtificialIntelligence"
47,1,WE NEED AUTOMATION NOW MORE THAN EVER!! ROBOTS & A.I. CANT GET COVID-19 ;) #ArtificialIntelligence #COVID19 #coronavirus #AGI 
48,-1,Machine Learning and Artificial Intelligence can never substitute the profession of a Doctor .Man health worker👩🏻‍⚕️ They can be a helping hand but can’t substitute them completely .
49,-1,"No I think you all playing your  part really well.And Q is probably an artificial intelligence psyop designed psychologicaly to  calm the people so you give them a fake hope, someone to believe in While the Internet blackout will happen soon and AI will delete every information"
50,-1,I think you're overestimating the power of artificial intelligence.
51,0,Artificial intelligence is no match for natural stupidity.
52,-1,"Seeing what this virus has done to us, and the domino effect it has had on everything makes me realize we will be completely fucked if artificial intelligence is to ever get out of hands."
53,-1,Artificial intelligence is a synonym for a Republican.
54,-1,Artificial intelligence can not imagine the very *idea* of turning Rhapsody in Blue into a rap song
55,-1,"Forget artificial intelligence and nuclear war, Professor Stephen Hawking has sensationally warned it will be humans’ stupidity and greed which will usher in the end of time."
56,-1,So Twitter uses Artificial Intelligence to monitor accounts. They are highly automated. They are very good at the artificial part...they are not so good at the intelligence part. Their brainiacs have determined that my tweets encouraging people during these times are spam. Geez!
57,-1,Do you remember when they scared us with stories of Artificial Intelligence taking our jobs?  Now all the AI companies are going bust and I’m cleaning my ass in the shower.
58,-1,"""Employment"" and direct human transactions are becoming increasingly unnecessary for most industries.  Everything will be manufactured, prepared, distributed and sold by artificial intelligence. So malls definitely had to die."
59,-1,"Why do we keep electing and nominating 80 year olds to fix our problems? I don’t need the president to call me in the middle of the night to reset the clock on their VCR, I need them to help solve the issues that will arise as a result of job loss from Artificial Intelligence"
60,-1,Lets stop hyping ‘Artificial Intelligence’.   Artificial Intelligence can do nothing unless there’s human intention and intelligence behind driving Artificial Intelligence to make the right impact or make a positive change.
