Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
Dragon Breath,Dragon,,60,100,20,,May paralyze opponent.,30
Dragon Claw,Dragon,,80,100,15,TM02,,—
Dragon Dance,Dragon,,—,—,20,,Raises user's Attack and Speed.,—
Dragon Darts,Dragon,,50,100,10,,User attacks twice.,
Dragon Hammer,Dragon,,90,100,15,,The user uses its body like a hammer to attack the target and inflict damage.,
Dragon Pulse,Dragon,,85,100,10,,,—
Dragon Rage,Dragon,,—,100,10,,Always inflicts 40 HP.,—
Dragon Rush,Dragon,,100,75,10,,May cause flinching.,20
Dragon Tail,Dragon,,60,90,10,TM82,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Drain Punch,Fighting,,75,100,10,,User recovers half the HP inflicted on opponent.,—
Draining Kiss,Fairy,,50,100,10,,User recovers most the HP inflicted on opponent.,—
Dream Eater,Psychic,,100,100,15,TM85,User recovers half the HP inflicted on a sleeping opponent.,—
Drill Peck,Flying,,80,100,20,,,—
Drill Run,Ground,,80,95,10,,High critical hit ratio.,—
Drum Beating,Grass,,80,100,10,,Lowers opponent's Speed.,
Dual Chop,Dragon,,40,90,15,,Hits twice in one turn.,—
Dynamax Cannon,Dragon,,100,100,5,,Damage doubles if user is Dynamaxed.,
Dynamic Punch,Fighting,,100,50,5,,Confuses opponent.,100
Earth Power,Ground,,90,100,10,,May lower opponent's Special Defense.,10
Earthquake,Ground,,100,100,10,TM26,Power is doubled if opponent is underground from using Dig.,—
Echoed Voice,Normal,,40,100,15,TM49,Power increases each turn.,—
Eerie Impulse,Electric,,—,100,15,,Sharply lowers opponent's Special Attack.,—
Egg Bomb,Normal,,100,75,10,,,—
Electric Terrain,Electric,,—,—,10,,Prevents all Pokémon from falling asleep for 5 turns.,—
Electrify,Electric,,—,—,20,,Changes the target's move to Electric type.,—
Electro Ball,Electric,,—,100,10,,"The faster the user, the stronger the attack.",—
Electroweb,Electric,,55,95,15,,Lowers opponent's Speed.,100
Embargo,Dark,,—,100,15,TM63,Opponent cannot use items.,—
Ember,Fire,,40,100,25,,May burn opponent.,10
Encore,Normal,,—,100,5,,Forces opponent to keep using its last move for 3 turns.,—
Endeavor,Normal,,—,100,5,,Reduces opponent's HP to same as user's.,—
Endure,Normal,,—,—,10,,"Always left with at least 1 HP, but may fail if used consecutively.",—
Energy Ball,Grass,,90,100,10,TM53,May lower opponent's Special Defense.,10
Entrainment,Normal,,—,100,15,,Makes target's ability same as user's.,—
Eruption,Fire,,150,100,5,,Stronger when the user's HP is higher.,—
Eternabeam,Dragon,,160,90,6,,User can't move on the next turn.,
Explosion,Normal,,250,100,5,TM64,User faints.,—
Extrasensory,Psychic,,80,100,20,,May cause flinching.,10
Extreme Evoboost,Normal,,—,—,1,,Eevee-exclusive Z-Move. Sharply raises all stats.,
Extreme Speed,Normal,,80,100,5,,User attacks first.,—
Facade,Normal,,70,100,20,TM42,"Power doubles if user is burned, poisoned, or paralyzed.",—
Fairy Lock,Fairy,,—,—,10,,Prevents fleeing in the next turn.,—
Fairy Wind,Fairy,,40,100,30,,,—
Fake Out,Normal,,40,100,10,,"User attacks first, foe flinches. Only usable on first turn.",100
Fake Tears,Dark,,—,100,20,,Sharply lowers opponent's Special Defense.,—
False Surrender,Dark,,80,∞,10,,Ignores Accuracy and Evasiveness.,
False Swipe,Normal,,40,100,40,TM54,Always leaves opponent with at least 1 HP.,—
Feather Dance,Flying,,—,100,15,,Sharply lowers opponent's Attack.,—
Feint,Normal,,30,100,10,,Only hits if opponent uses Protect or Detect in the same turn.,—
Feint Attack,Dark,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Fell Stinger,Bug,,50,100,25,,Drastically raises user's Attack if target is KO'd.,—
Fiery Dance,Fire,,80,100,10,,May raise user's Special Attack.,50
Final Gambit,Fighting,,—,100,5,,Inflicts damage equal to the user's remaining HP. User faints.,—
Fire Blast,Fire,,110,85,5,TM38,May burn opponent.,10
Fire Fang,Fire,,65,95,15,,May cause flinching and/or burn opponent.,10
Fire Lash,Fire,,80,100,15,,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,
Fire Pledge,Fire,,80,100,10,,Added effects appear if combined with Grass Pledge or Water Pledge.,—
Fire Punch,Fire,,75,100,15,,May burn opponent.,10
Fire Spin,Fire,,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",—
First Impression,Bug,,90,100,10,,"Although this move has great power, it only works the first turn the user is in battle.",
Fishious Rend,Water,,85,100,10,,"If the user attacks before the target, the power of this move is doubled.",
Fissure,Ground,,—,—,5,,"One-Hit-KO, if it hits.",—
Flail,Normal,,—,100,15,,"The lower the user's HP, the higher the power.",—
Flame Burst,Fire,,70,100,15,,May also injure nearby Pokémon.,—
Flame Charge,Fire,,50,100,20,TM43,Raises user's Speed.,100
Flame Wheel,Fire,,60,100,25,,May burn opponent.,10
Flamethrower,Fire,,90,100,15,TM35,May burn opponent.,10
Flare Blitz,Fire,,120,100,15,,User receives recoil damage. May burn opponent.,10
Flash,Normal,,—,100,20,,Lowers opponent's Accuracy.,—
Flash Cannon,Steel,,80,100,10,TM91,May lower opponent's Special Defense.,10
Flatter,Dark,,—,100,15,,"Confuses opponent, but raises its Special Attack by two stages.",—
Fleur Cannon,Fairy,,130,90,5,,Sharply lowers user's Special Attack.,
Fling,Dark,,—,100,10,TM56,Power depends on held item.,—
Floaty Fall,Flying,,90,95,15,,May cause flinching.,30
Floral Healing,Fairy,,—,—,10,,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,
Flower Shield,Fairy,,—,—,10,,Sharply raises Defense of all Grass-type Pokémon on the field.,—
Fly,Flying,,90,95,15,TM76,"Flies up on first turn, attacks on second turn.",—
Flying Press,Fighting,,100,95,10,,Deals Fighting and Flying type damage.,—
Focus Blast,Fighting,,120,70,5,TM52,May lower opponent's Special Defense.,10
Focus Energy,Normal,,—,—,30,,Increases critical hit ratio.,—
Focus Punch,Fighting,,150,100,20,,"If the user is hit before attacking, it flinches instead.",—
Follow Me,Normal,,—,—,20,,"In Double Battle, the user takes all the attacks.",—
Force Palm,Fighting,,60,100,10,,May paralyze opponent.,30
Foresight,Normal,,—,—,40,,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",—
Forest's Curse,Grass,,—,100,20,,Adds Grass type to opponent.,—
Foul Play,Dark,,95,100,15,,Uses the opponent's Attack stat.,—
Freeze Shock,Ice,,140,90,5,,"Charges on first turn, attacks on second. May paralyze opponent.",30
Freeze-Dry,Ice,,70,100,20,,May freeze opponent. Super-effective against Water types.,—
Freezy Frost,Ice,,90,100,15,,Resets all stat changes.,
Frenzy Plant,Grass,,150,90,5,,User must recharge next turn.,—
Frost Breath,Ice,,60,90,10,TM79,Always results in a critical hit.,100
Frustration,Normal,,—,100,20,TM21,Power decreases with higher Friendship.,—
Fury Attack,Normal,,15,85,20,,Hits 2-5 times in one turn.,—
Fury Cutter,Bug,,40,95,20,,Power increases each turn.,—
Fury Swipes,Normal,,18,80,15,,Hits 2-5 times in one turn.,—
Fusion Bolt,Electric,,100,100,5,,Power increases if Fusion Flare is used in the same turn.,—
Fusion Flare,Fire,,100,100,5,,Power increases if Fusion Bolt is used in the same turn.,—
Future Sight,Psychic,,120,100,10,,Damage occurs 2 turns later.,—
G-Max Befuddle,Bug,—,—,—,—,,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.",
G-Max Centiferno,Fire,—,—,—,—,,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,
G-Max Chi Strike,Fighting,—,—,—,—,,Machamp-exclusive G-Max Move. Increases critical hit ratio.,
G-Max Cuddle,Normal,—,—,—,—,,Eevee-exclusive G-Max Move. Infatuates opponents.,
G-Max Depletion,Dragon,—,—,—,—,,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,
G-Max Finale,Fairy,—,—,—,—,,Alcremie-exclusive G-Max Move. Heals the user's team.,
G-Max Foam Burst,Water,—,—,—,—,,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,
G-Max Gold Rush,Normal,—,—,—,—,,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,
G-Max Gravitas,Psychic,—,—,—,—,,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,
G-Max Malodor,Poison,—,—,—,—,,Garbodor-exclusive G-Max Move. Poisons opponents.,
G-Max Meltdown,Steel,—,—,—,—,,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,
G-Max Replenish,Normal,—,—,—,—,,Snorlax-exclusive G-Max Move. Recycles Berries.,
G-Max Resonance,Ice,—,—,—,—,,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,
G-Max Sandblast,Ground,—,—,—,—,,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,
G-Max Smite,Fairy,—,—,—,—,,Hatterene-exclusive G-Max Move. Confuses opponents.,
G-Max Snooze,Dark,—,—,—,—,,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,
G-Max Steelsurge,Steel,—,—,—,—,,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,
G-Max Stonesurge,Water,—,—,—,—,,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,
G-Max Stun Shock,Electric,—,—,—,—,,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,
G-Max Sweetness,Grass,—,—,—,—,,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,
G-Max Tartness,Grass,—,—,—,—,,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,
G-Max Terror,Ghost,—,—,—,—,,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,
G-Max Volcalith,Rock,—,—,—,—,,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,
G-Max Volt Crash,Electric,—,—,—,—,,Pikachu-exclusive G-Max Move. Paralyzes opponents.,
G-Max Wildfire,Fire,—,—,—,—,,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,
G-Max Wind Rage,Flying,—,—,—,—,,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,
Gastro Acid,Poison,,—,100,10,,Cancels out the effect of the opponent's Ability.,—
Gear Grind,Steel,,50,85,15,,Hits twice in one turn.,—
Gear Up,Steel,,—,—,20,,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,
Genesis Supernova,Psychic,,185,—,1,,Mew-exclusive Z-Move.,
Geomancy,Fairy,,—,—,10,,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.",—
Giga Drain,Grass,,75,100,10,,User recovers half the HP inflicted on opponent.,—
Giga Impact,Normal,,150,90,5,TM68,User must recharge next turn.,—
Gigavolt Havoc,Electric,—,—,—,1,,Electric type Z-Move.,
Glaciate,Ice,,65,95,10,,Lowers opponent's Speed.,100
Glare,Normal,,—,100,30,,Paralyzes opponent.,—
Glitzy Glow,Psychic,,90,100,15,,Reduces damage from Special attacks.,
Grass Knot,Grass,,—,100,20,TM86,"The heavier the opponent, the stronger the attack.",—
Grass Pledge,Grass,,80,100,10,,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,—
Grass Whistle,Grass,,—,55,15,,Puts opponent to sleep.,—
Grassy Terrain,Grass,,—,—,10,,Restores a little HP of all Pokémon for 5 turns. ,—
Grav Apple,Grass,,80,100,10,,Lowers the opponent's Defense stat.,
Gravity,Psychic,,—,—,5,,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,—
Growl,Normal,,—,100,40,,Lowers opponent's Attack.,—
Growth,Normal,,—,—,40,,Raises user's Attack and Special Attack.,—
Grudge,Ghost,,—,—,5,,"If the users faints after using this move, the PP for the opponent's last move is depleted.",—
Guard Split,Psychic,,—,—,10,,Averages Defense and Special Defense with the target.,—
Guard Swap,Psychic,,—,—,10,,User and opponent swap Defense and Special Defense.,—
Guardian of Alola,Fairy,,—,—,1,,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,
Guillotine,Normal,,—,—,5,,"One-Hit-KO, if it hits.",—
Gunk Shot,Poison,,120,80,5,,May poison opponent.,30
Gust,Flying,,40,100,35,,Hits Pokémon using Fly/Bounce with double power.,—
Gyro Ball,Steel,,—,100,5,TM74,"The slower the user, the stronger the attack.",—
Hail,Ice,,—,—,10,TM07,Non-Ice types are damaged for 5 turns.,—
Hammer Arm,Fighting,,100,90,10,,Lowers user's Speed.,—
Happy Hour,Normal,,—,—,30,,Doubles prize money from trainer battles.,—
Harden,Normal,,—,—,30,,Raises user's Defense.,—
Haze,Ice,,—,—,30,,Resets all stat changes.,—
Head Charge,Normal,,120,100,15,,User receives recoil damage.,—
Head Smash,Rock,,150,80,5,,User receives recoil damage.,—
Headbutt,Normal,,70,100,15,,May cause flinching.,30
Heal Bell,Normal,,—,—,5,,Heals the user's party's status conditions.,—
Heal Block,Psychic,,—,—,15,,Prevents the opponent from restoring HP for 5 turns.,—
Heal Order,Bug,,—,—,10,,User recovers half its max HP.,—
Heal Pulse,Psychic,,—,—,10,,Restores half the target's max HP.,—
Healing Wish,Psychic,,—,—,10,,The user faints and the next Pokémon released is fully healed.,—
Heart Stamp,Psychic,,60,100,25,,May cause flinching.,30
Heart Swap,Psychic,,—,—,10,,Stat changes are swapped with the opponent.,—
Heat Crash,Fire,,—,100,10,,"The heavier the user, the stronger the attack.",—
Heat Wave,Fire,,95,90,10,,May burn opponent.,10
Heavy Slam,Steel,,—,100,10,,"The heavier the user, the stronger the attack.",—
Helping Hand,Normal,,—,—,20,,"In Double Battles, boosts the power of the partner's move.",—
Hex,Ghost,,65,100,10,,Inflicts more damage if the target has a status condition.,—
Hidden Power,Normal,,60,100,15,TM10,Type and power depends on user's IVs.,—
High Horsepower,Ground,,95,95,10,,The user fiercely attacks the target using its entire body.,
High Jump Kick,Fighting,,130,90,10,,"If it misses, the user loses half their HP.",—
Hold Back,Normal,,40,100,40,,Always leaves opponent with at least 1 HP.,—
Hold Hands,Normal,,—,—,40,,Makes the user and an ally very happy.,—
Hone Claws,Dark,,—,—,15,,Raises user's Attack and Accuracy.,—
Horn Attack,Normal,,65,100,25,,,—
Horn Drill,Normal,,—,—,5,,"One-Hit-KO, if it hits.",—
Horn Leech,Grass,,75,100,10,,User recovers half the HP inflicted on opponent.,—
Howl,Normal,,—,—,40,,Raises user's Attack.,—
Hurricane,Flying,,110,70,10,,May confuse opponent.,30
Hydro Cannon,Water,,150,90,5,,User must recharge next turn.,—
Hydro Pump,Water,,110,80,5,,,—
Hydro Vortex,Water,—,—,—,1,,Water type Z-Move.,
Hyper Beam,Normal,,150,90,5,TM15,User must recharge next turn.,—
Hyper Fang,Normal,,80,90,15,,May cause flinching.,10
Hyper Voice,Normal,,90,100,10,,,—
Hyperspace Fury,Dark,,100,∞,5,,Lowers user's Defense. Can strike through Protect/Detect.,—
Hyperspace Hole,Psychic,,80,∞,5,,Can strike through Protect/Detect.,—
Hypnosis,Psychic,,—,60,20,,Puts opponent to sleep.,—
Ice Ball,Ice,,30,90,20,,Doubles in power each turn for 5 turns.,—
Ice Beam,Ice,,90,100,10,TM13,May freeze opponent.,10
Ice Burn,Ice,,140,90,5,,"Charges on first turn, attacks on second. May burn opponent.",30
Ice Fang,Ice,,65,95,15,,May cause flinching and/or freeze opponent.,10
Ice Hammer,Ice,,100,90,10,,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",
Ice Punch,Ice,,75,100,15,,May freeze opponent.,10
Ice Shard,Ice,,40,100,30,,User attacks first.,—
Icicle Crash,Ice,,85,90,10,,May cause flinching.,30
Icicle Spear,Ice,,25,100,30,,Hits 2-5 times in one turn.,—
Icy Wind,Ice,,55,95,15,,Lowers opponent's Speed.,100
Imprison,Psychic,,—,—,10,,Opponent is unable to use moves that the user also knows.,—
Incinerate,Fire,,60,100,15,,Destroys the target's held berry.,—
Inferno,Fire,,100,50,5,,Burns opponent.,100
Inferno Overdrive,Fire,—,—,—,1,,Fire type Z-Move.,
Infestation,Bug,,20,100,20,TM83,"Traps opponent, damaging them for 4-5 turns.",—
Ingrain,Grass,,—,—,20,,User restores HP each turn. User cannot escape/switch.,—
